Course,Morning_Attend,Displaced,SpecialNeeds,Debtor,Fees_Paid,Gender,Scholarship,Age,S1_Evaluations,S1_Grade,S2_Evaluations,S2_Grade,Unemployment_Rate,Inflation_Rate,GDP,Has_Spouse,Developed_Nation,Parent_Income_Proxy,Target_3level
17,0,0,0,0,1,1,0,34.0,6,12.4,9,13.428571428571429,13.9,-0.3,0.79,single_or_no_spouse,developed,2.0,Regular
1,1,0,0,1,0,1,0,37.0,7,0.0,7,10.0,8.9,1.4,3.51,single_or_no_spouse,developed,1.5,At-risk
7,1,1,0,0,1,1,0,43.0,0,0.0,0,0.0,7.6,2.6,0.32,single_or_no_spouse,developed,1.0,At-risk
9,1,0,0,0,1,0,0,55.0,10,10.0,8,12.0,16.2,0.3,-0.92,single_or_no_spouse,developed,2.0,At-risk
17,0,1,0,0,1,0,0,39.0,8,11.0,5,11.6,7.6,2.6,0.32,single_or_no_spouse,developed,2.0,Regular
8,1,0,0,1,0,0,0,20.0,13,11.666666666666666,11,12.0,12.4,0.5,1.79,single_or_no_spouse,developed,2.5,At-risk
15,1,0,0,1,1,0,0,18.0,6,12.75,5,0.0,12.7,3.7,-1.7,single_or_no_spouse,developed,3.0,At-risk
9,1,1,0,0,1,0,0,22.0,5,14.8,5,15.8,8.9,1.4,3.51,single_or_no_spouse,developed,2.5,Exceptional
12,1,1,1,0,1,0,0,22.0,9,13.928,9,14.342857142857142,11.1,0.6,2.02,single_or_no_spouse,developed,3.0,Exceptional
15,1,0,0,0,0,0,0,20.0,7,13.0,7,13.8,12.4,0.5,1.79,single_or_no_spouse,developed,2.0,At-risk
17,0,0,0,0,1,0,0,29.0,0,0.0,0,0.0,16.2,0.3,-0.92,single_or_no_spouse,developed,1.0,At-risk
17,0,0,0,0,1,0,0,24.0,9,11.5,11,14.333333333333334,7.6,2.6,0.32,single_or_no_spouse,developed,2.0,Regular
10,1,1,0,0,1,0,0,18.0,6,11.666666666666666,8,13.2,11.1,0.6,2.02,single_or_no_spouse,developed,1.0,Regular
12,1,1,0,0,1,0,1,22.0,8,13.516666666666666,9,13.771428571428572,11.1,0.6,2.02,single_or_no_spouse,developed,2.0,Exceptional
3,0,0,0,0,1,0,1,21.0,6,11.5,7,13.285714285714286,12.4,0.5,1.79,single_or_no_spouse,developed,1.0,Regular
10,1,0,0,0,1,0,1,19.0,7,12.333333333333334,7,12.833333333333334,12.7,3.7,-1.7,single_or_no_spouse,developed,1.0,Regular
11,1,0,0,0,1,0,1,24.0,6,13.666666666666666,6,14.166666666666666,12.4,0.5,1.79,single_or_no_spouse,developed,1.5,Exceptional
12,1,1,0,0,1,0,1,19.0,10,11.833333333333334,10,11.833333333333334,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,Regular
15,1,1,0,0,1,0,1,20.0,11,14.0,12,11.0,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,Regular
8,1,0,0,0,1,0,0,19.0,7,14.714285714285714,5,15.8,7.6,2.6,0.32,single_or_no_spouse,developed,2.0,Exceptional
17,0,0,0,0,1,0,0,27.0,12,10.6,10,11.0,9.4,-0.8,-3.12,single_or_no_spouse,developed,1.0,At-risk
12,1,1,0,0,1,0,0,18.0,9,13.044444444444444,10,13.595,15.5,2.8,-4.06,single_or_no_spouse,developed,2.0,Regular
11,1,0,0,0,1,0,0,39.0,10,0.0,6,0.0,12.4,0.5,1.79,has_spouse,developed,2.5,At-risk
8,1,1,0,0,1,0,0,27.0,9,13.0,13,12.9,12.4,0.5,1.79,single_or_no_spouse,developed,3.0,At-risk
12,1,1,0,0,1,0,0,18.0,8,14.935,8,14.935,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,Exceptional
2,1,1,0,0,1,0,0,18.0,0,0.0,0,0.0,7.6,2.6,0.32,single_or_no_spouse,developed,1.5,Regular
12,1,0,0,0,1,0,0,18.0,8,13.133333333333333,12,12.221428571428572,16.2,0.3,-0.92,single_or_no_spouse,developed,1.0,Regular
10,1,0,0,0,1,0,1,21.0,7,12.0,7,12.0,13.9,-0.3,0.79,single_or_no_spouse,developed,1.0,Regular
2,1,1,0,0,1,1,1,19.0,0,0.0,0,0.0,10.8,1.4,1.74,single_or_no_spouse,developed,2.0,Regular
5,1,1,0,0,1,1,0,19.0,6,11.4,8,10.0,10.8,1.4,1.74,single_or_no_spouse,developed,2.5,Regular
5,1,0,0,0,1,1,0,24.0,6,0.0,6,0.0,12.7,3.7,-1.7,single_or_no_spouse,developed,3.0,Regular
12,1,1,0,0,1,1,0,29.0,10,11.9,10,11.0,13.9,-0.3,0.79,single_or_no_spouse,developed,2.0,At-risk
2,1,1,0,0,1,1,1,19.0,0,0.0,0,0.0,10.8,1.4,1.74,single_or_no_spouse,developed,2.5,Regular
4,1,1,0,0,1,1,0,23.0,8,12.571428571428571,7,12.428571428571429,8.9,1.4,3.51,single_or_no_spouse,developed,1.0,Regular
9,1,0,0,1,1,1,0,19.0,8,11.2,10,10.75,16.2,0.3,-0.92,single_or_no_spouse,developed,2.0,At-risk
11,1,0,0,0,1,1,0,26.0,7,12.0,8,10.8,12.7,3.7,-1.7,single_or_no_spouse,developed,2.0,Regular
9,1,0,0,0,1,1,0,18.0,9,0.0,5,0.0,7.6,2.6,0.32,single_or_no_spouse,developed,2.0,Regular
12,1,0,0,0,1,1,0,24.0,8,11.975,8,13.75,13.9,-0.3,0.79,single_or_no_spouse,developed,1.5,Regular
2,1,1,0,0,1,1,0,19.0,0,0.0,0,0.0,15.5,2.8,-4.06,single_or_no_spouse,developed,2.0,At-risk
11,1,1,0,0,1,1,0,18.0,12,11.666666666666666,12,12.0,12.4,0.5,1.79,single_or_no_spouse,developed,2.0,At-risk
15,1,1,0,0,1,1,0,18.0,8,12.333333333333334,11,12.333333333333334,10.8,1.4,1.74,single_or_no_spouse,developed,1.0,Regular
9,1,1,0,1,1,1,0,18.0,8,10.333333333333334,11,10.857142857142858,10.8,1.4,1.74,single_or_no_spouse,developed,2.0,At-risk
11,1,1,0,0,1,1,1,21.0,8,10.5,11,11.0,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,At-risk
15,1,1,0,1,1,1,1,19.0,6,13.666666666666666,6,13.333333333333334,8.9,1.4,3.51,single_or_no_spouse,developed,1.0,Regular
12,1,0,0,0,1,1,1,22.0,7,14.842857142857142,9,15.055555555555555,16.2,0.3,-0.92,single_or_no_spouse,developed,1.0,Exceptional
3,0,0,0,0,1,1,0,33.0,8,12.0,6,11.666666666666666,10.8,1.4,1.74,has_spouse,developed,1.5,Regular
16,1,1,0,0,1,1,0,20.0,8,12.2,7,12.2,10.8,1.4,1.74,single_or_no_spouse,developed,1.0,At-risk
17,0,1,0,0,1,1,0,35.0,1,0.0,0,0.0,10.8,1.4,1.74,single_or_no_spouse,developed,3.0,At-risk
4,1,0,0,1,1,1,0,24.0,17,12.166666666666666,14,13.3,12.4,0.5,1.79,single_or_no_spouse,developed,2.5,At-risk
11,1,0,0,0,1,1,0,18.0,6,12.0,8,11.333333333333334,12.7,3.7,-1.7,single_or_no_spouse,developed,2.0,Regular
3,0,1,0,0,1,0,0,33.0,7,11.0,11,11.0,9.4,-0.8,-3.12,has_spouse,developed,1.5,Regular
12,1,1,0,0,1,0,1,22.0,8,13.08,8,13.08,10.8,1.4,1.74,single_or_no_spouse,developed,1.5,Regular
14,1,0,0,0,1,0,1,25.0,7,10.5,7,11.6,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,Regular
5,1,1,0,0,1,1,0,20.0,9,10.666666666666666,6,11.2,7.6,2.6,0.32,single_or_no_spouse,developed,1.5,Regular
9,1,1,0,0,1,1,0,23.0,6,14.0,5,13.8,11.1,0.6,2.02,single_or_no_spouse,developed,1.0,Exceptional
7,1,1,0,1,1,1,0,18.0,9,10.0,9,0.0,15.5,2.8,-4.06,single_or_no_spouse,developed,1.5,Regular
12,1,0,0,0,1,1,0,24.0,18,0.0,7,0.0,13.9,-0.3,0.79,single_or_no_spouse,developed,2.0,At-risk
15,1,1,0,0,0,0,0,21.0,6,14.0,6,13.5,8.9,1.4,3.51,single_or_no_spouse,not_developed,1.0,Regular
8,1,0,0,0,1,0,0,26.0,7,12.0,6,0.0,8.9,1.4,3.51,single_or_no_spouse,not_developed,2.0,At-risk
16,1,0,0,0,1,0,0,39.0,12,12.666666666666666,14,0.0,7.6,2.6,0.32,has_spouse,developed,1.0,At-risk
3,0,0,0,0,1,0,0,44.0,11,11.875,7,12.333333333333334,12.7,3.7,-1.7,has_spouse,developed,1.0,Regular
7,1,1,0,0,1,1,0,19.0,9,14.0,11,13.25,13.9,-0.3,0.79,single_or_no_spouse,not_developed,2.0,Exceptional
15,1,1,0,0,1,0,0,18.0,6,13.666666666666666,6,13.333333333333334,8.9,1.4,3.51,single_or_no_spouse,developed,2.0,Regular
12,1,1,0,0,1,0,1,18.0,7,13.75,9,14.47777777777778,12.4,0.5,1.79,single_or_no_spouse,developed,2.0,Exceptional
6,1,1,0,0,1,0,0,19.0,7,14.2,7,13.8,12.7,3.7,-1.7,single_or_no_spouse,developed,2.0,Exceptional
12,1,1,0,1,1,0,0,19.0,10,11.96,7,0.0,13.9,-0.3,0.79,single_or_no_spouse,developed,3.0,At-risk
6,1,0,0,0,1,0,0,21.0,12,12.875,14,13.4,8.9,1.4,3.51,single_or_no_spouse,developed,1.0,At-risk
2,1,1,0,0,1,0,0,20.0,0,0.0,0,0.0,16.2,0.3,-0.92,single_or_no_spouse,developed,1.5,Regular
3,0,1,0,0,1,0,0,36.0,0,0.0,0,0.0,9.4,-0.8,-3.12,has_spouse,developed,2.0,At-risk
4,1,0,0,0,1,0,0,43.0,19,14.63157894736842,14,14.23076923076923,15.5,2.8,-4.06,single_or_no_spouse,developed,1.5,Exceptional
16,1,1,0,0,1,0,0,19.0,0,0.0,0,0.0,11.1,0.6,2.02,single_or_no_spouse,developed,1.5,At-risk
5,1,0,0,1,1,0,0,20.0,12,13.0,11,12.272727272727272,11.1,0.6,2.02,single_or_no_spouse,developed,2.0,Regular
10,1,1,0,0,1,0,0,19.0,0,0.0,0,0.0,16.2,0.3,-0.92,single_or_no_spouse,developed,2.0,At-risk
6,1,1,0,0,1,0,0,20.0,15,14.2,17,13.25,15.5,2.8,-4.06,single_or_no_spouse,developed,2.0,At-risk
12,1,1,0,0,1,0,0,20.0,9,13.266666666666666,10,12.3,12.4,0.5,1.79,single_or_no_spouse,developed,2.5,At-risk
16,1,1,0,0,1,0,0,20.0,12,11.666666666666666,10,13.0,16.2,0.3,-0.92,single_or_no_spouse,developed,2.0,Regular
10,1,1,0,0,1,0,0,18.0,8,13.857142857142858,6,15.0,13.9,-0.3,0.79,single_or_no_spouse,developed,2.0,Exceptional
9,1,1,0,0,1,0,1,18.0,9,13.0,11,11.0,8.9,1.4,3.51,single_or_no_spouse,developed,2.0,Regular
6,1,1,0,0,1,0,0,19.0,6,13.4,5,12.8,10.8,1.4,1.74,single_or_no_spouse,developed,1.0,Regular
15,1,1,0,0,1,0,0,18.0,6,12.666666666666666,7,12.571428571428571,10.8,1.4,1.74,single_or_no_spouse,developed,2.0,Regular
12,1,1,0,0,1,0,0,18.0,7,12.516666666666666,7,12.516666666666666,7.6,2.6,0.32,single_or_no_spouse,developed,1.0,At-risk
12,1,0,0,0,1,0,0,20.0,11,11.616666666666667,7,13.0,13.9,-0.3,0.79,single_or_no_spouse,developed,1.5,Regular
10,1,1,0,0,1,0,1,20.0,13,10.0,12,10.75,7.6,2.6,0.32,single_or_no_spouse,developed,1.5,Regular
9,1,0,0,0,1,0,0,20.0,11,10.333333333333334,10,10.666666666666666,12.4,0.5,1.79,single_or_no_spouse,developed,3.0,Regular
6,1,0,0,0,1,0,0,18.0,12,13.142857142857142,6,11.4,9.4,-0.8,-3.12,single_or_no_spouse,developed,1.5,Regular
9,1,0,0,0,1,0,0,18.0,5,12.6,5,14.0,11.1,0.6,2.02,single_or_no_spouse,developed,2.0,Regular
11,1,1,0,0,1,0,0,21.0,12,11.0,12,11.0,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,At-risk
9,1,1,0,0,1,0,0,19.0,8,10.8,9,11.25,16.2,0.3,-0.92,single_or_no_spouse,developed,1.5,Regular
2,1,0,0,0,1,0,0,19.0,0,0.0,0,0.0,10.8,1.4,1.74,single_or_no_spouse,developed,2.0,At-risk
14,1,0,0,0,1,0,1,19.0,5,12.8,5,14.2,9.4,-0.8,-3.12,single_or_no_spouse,developed,1.0,Regular
6,1,1,0,0,1,0,0,19.0,15,14.166666666666666,13,12.2,15.5,2.8,-4.06,single_or_no_spouse,developed,2.0,Regular
13,1,1,0,0,1,0,0,19.0,12,12.1,0,0.0,13.9,-0.3,0.79,single_or_no_spouse,developed,2.0,At-risk
6,1,1,0,0,1,0,0,20.0,7,14.166666666666666,17,13.77777777777778,12.4,0.5,1.79,single_or_no_spouse,developed,1.0,Exceptional
16,1,1,0,0,1,0,1,18.0,8,12.8,7,13.4,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,Regular
10,1,1,0,0,1,0,0,18.0,7,13.0,6,13.666666666666666,12.4,0.5,1.79,single_or_no_spouse,developed,2.5,Regular
12,1,1,0,0,1,0,0,19.0,7,13.467142857142855,9,15.011111111111113,12.4,0.5,1.79,single_or_no_spouse,developed,1.0,Exceptional
12,1,1,0,0,1,0,1,18.0,9,13.2375,9,13.742857142857144,13.9,-0.3,0.79,single_or_no_spouse,developed,1.5,At-risk
5,1,1,0,0,1,0,0,18.0,6,12.333333333333334,6,13.0,7.6,2.6,0.32,single_or_no_spouse,developed,1.0,Regular
9,1,1,0,0,1,0,0,19.0,7,12.4,5,14.6,8.9,1.4,3.51,single_or_no_spouse,developed,1.5,Regular
12,1,1,0,0,1,0,0,19.0,8,14.0,7,0.0,13.9,-0.3,0.79,single_or_no_spouse,developed,3.0,At-risk
10,1,0,0,0,1,0,0,20.0,15,11.666666666666666,8,11.714285714285714,7.6,2.6,0.32,single_or_no_spouse,developed,1.5,Regular
14,1,0,0,1,0,0,1,19.0,7,12.0,9,12.5,12.4,0.5,1.79,single_or_no_spouse,developed,2.0,At-risk
14,1,1,0,0,1,0,0,20.0,7,12.2,5,11.5,7.6,2.6,0.32,single_or_no_spouse,developed,2.0,Regular
15,1,0,0,1,1,0,1,18.0,6,14.833333333333334,6,14.833333333333334,8.9,1.4,3.51,single_or_no_spouse,developed,2.0,Exceptional
12,1,0,0,0,1,0,1,20.0,9,13.188,9,12.892857142857142,11.1,0.6,2.02,single_or_no_spouse,developed,2.0,Regular
12,1,0,0,0,1,0,0,18.0,8,17.125,8,17.5875,13.9,-0.3,0.79,single_or_no_spouse,developed,1.5,Exceptional
12,1,1,0,0,1,0,0,19.0,7,12.666666666666666,7,12.666666666666666,7.6,2.6,0.32,single_or_no_spouse,developed,1.0,Regular
15,1,1,0,0,1,0,1,19.0,8,12.666666666666666,10,12.0,12.4,0.5,1.79,single_or_no_spouse,developed,2.0,Regular
9,1,1,0,1,0,0,0,22.0,8,0.0,7,0.0,8.9,1.4,3.51,single_or_no_spouse,developed,3.0,Regular
10,1,1,0,0,1,0,1,19.0,7,11.333333333333334,6,11.5,12.4,0.5,1.79,single_or_no_spouse,developed,1.5,Regular
12,1,1,0,0,1,0,1,19.0,10,13.605,11,12.33125,15.5,2.8,-4.06,single_or_no_spouse,developed,1.5,Regular
16,1,1,0,0,1,0,1,19.0,10,12.0,9,10.8,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,Regular
11,1,1,0,0,1,0,0,19.0,10,0.0,10,0.0,7.6,2.6,0.32,single_or_no_spouse,developed,1.0,At-risk
11,1,1,0,0,1,0,0,20.0,8,11.2,12,11.666666666666666,7.6,2.6,0.32,single_or_no_spouse,developed,1.5,At-risk
9,1,0,0,0,1,0,0,18.0,10,13.375,9,14.166666666666666,13.9,-0.3,0.79,single_or_no_spouse,developed,2.5,Exceptional
12,1,0,0,0,1,0,1,20.0,8,13.863333333333337,9,14.178571428571429,11.1,0.6,2.02,single_or_no_spouse,developed,1.0,Exceptional
2,1,1,0,0,1,0,0,18.0,0,0.0,0,0.0,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,Regular
6,1,0,0,0,1,0,0,19.0,6,12.4,6,13.4,7.6,2.6,0.32,single_or_no_spouse,developed,2.0,Regular
16,1,1,0,0,1,0,0,18.0,11,12.333333333333334,10,10.833333333333334,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,Regular
16,1,1,0,0,1,0,0,18.0,7,13.333333333333334,8,11.8,7.6,2.6,0.32,single_or_no_spouse,developed,1.0,Regular
16,1,1,0,0,1,0,0,21.0,10,12.666666666666666,12,10.0,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.5,At-risk
16,1,0,0,0,1,0,0,19.0,8,12.0,10,11.5,7.6,2.6,0.32,single_or_no_spouse,developed,2.0,At-risk
9,1,0,0,0,1,0,1,18.0,5,10.6,5,11.8,12.4,0.5,1.79,single_or_no_spouse,developed,1.0,Regular
10,1,1,0,0,1,0,1,18.0,8,12.25,7,11.857142857142858,12.7,3.7,-1.7,single_or_no_spouse,developed,1.5,Regular
10,1,1,0,0,1,0,0,20.0,10,11.0,9,11.833333333333334,9.4,-0.8,-3.12,single_or_no_spouse,developed,1.5,Regular
3,0,0,0,0,1,0,1,24.0,11,11.0,9,12.6,11.1,0.6,2.02,single_or_no_spouse,developed,1.5,Regular
14,1,0,0,0,1,0,0,19.0,6,13.166666666666666,9,13.0,10.8,1.4,1.74,single_or_no_spouse,developed,2.5,At-risk
12,1,1,0,0,1,0,1,18.0,9,12.855555555555554,12,12.761111111111113,15.5,2.8,-4.06,single_or_no_spouse,developed,1.5,Regular
12,1,1,0,0,1,0,0,18.0,8,14.91875,8,15.355,15.5,2.8,-4.06,single_or_no_spouse,developed,1.0,Exceptional
16,1,1,0,0,1,0,0,21.0,13,11.5,10,11.0,10.8,1.4,1.74,single_or_no_spouse,developed,2.0,At-risk
14,1,0,0,0,1,0,0,19.0,5,14.285714285714286,5,14.2,7.6,2.6,0.32,single_or_no_spouse,developed,2.0,Exceptional
15,1,0,0,0,1,0,1,19.0,6,12.5,7,13.0,15.5,2.8,-4.06,single_or_no_spouse,developed,2.0,Regular
4,1,0,0,1,1,0,0,47.0,1,0.0,0,0.0,8.9,1.4,3.51,single_or_no_spouse,developed,2.0,Regular
10,1,0,0,0,1,0,0,19.0,10,11.666666666666666,12,11.0,13.9,-0.3,0.79,single_or_no_spouse,developed,1.5,Regular
12,1,0,0,0,1,0,0,29.0,8,14.257142857142856,8,14.257142857142856,12.7,3.7,-1.7,single_or_no_spouse,developed,3.0,Exceptional
10,1,1,0,0,1,0,0,21.0,13,12.0,12,11.333333333333334,16.2,0.3,-0.92,single_or_no_spouse,developed,1.5,At-risk
6,1,1,0,0,1,0,0,28.0,13,11.25,11,10.5,12.7,3.7,-1.7,single_or_no_spouse,developed,1.5,Regular
13,1,0,0,0,1,0,0,20.0,8,12.457142857142856,8,13.5625,15.5,2.8,-4.06,single_or_no_spouse,developed,2.5,Regular
12,1,1,0,0,1,0,0,19.0,7,11.683333333333332,7,11.683333333333332,7.6,2.6,0.32,single_or_no_spouse,developed,2.0,Regular
3,0,0,0,0,1,0,0,26.0,10,11.666666666666666,8,12.0,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,Regular
11,1,1,0,1,0,0,0,20.0,8,11.75,6,13.166666666666666,11.1,0.6,2.02,single_or_no_spouse,developed,1.0,At-risk
14,1,1,0,0,1,0,1,18.0,6,11.666666666666666,6,13.5,7.6,2.6,0.32,single_or_no_spouse,developed,1.0,Regular
16,1,0,0,0,1,0,0,27.0,9,13.2,10,12.0,7.6,2.6,0.32,single_or_no_spouse,developed,1.5,Regular
12,1,1,0,0,1,0,0,20.0,8,11.95,8,11.95,7.6,2.6,0.32,single_or_no_spouse,developed,2.0,At-risk
16,1,1,0,0,1,0,0,18.0,8,12.4,12,10.4,9.4,-0.8,-3.12,single_or_no_spouse,developed,1.5,At-risk
12,1,0,0,0,1,0,0,33.0,8,14.35,10,14.583333333333334,16.2,0.3,-0.92,single_or_no_spouse,developed,1.5,At-risk
16,1,1,0,0,1,0,0,35.0,21,12.61904761904762,19,12.789473684210526,12.4,0.5,1.79,single_or_no_spouse,developed,3.0,Regular
17,0,0,0,0,1,0,1,26.0,7,12.666666666666666,7,13.166666666666666,9.4,-0.8,-3.12,single_or_no_spouse,developed,1.0,Regular
15,1,0,0,1,0,0,0,27.0,6,12.0,6,0.0,11.1,0.6,2.02,single_or_no_spouse,developed,2.5,At-risk
5,1,1,0,0,0,0,0,19.0,6,12.166666666666666,6,0.0,15.5,2.8,-4.06,single_or_no_spouse,developed,2.0,At-risk
11,1,0,0,0,1,0,0,20.0,0,0.0,0,0.0,11.1,0.6,2.02,single_or_no_spouse,developed,2.0,At-risk
9,1,1,0,1,0,0,0,20.0,9,10.0,9,10.571428571428571,10.8,1.4,1.74,single_or_no_spouse,developed,2.0,At-risk
10,1,0,0,1,0,0,0,21.0,18,11.5,12,10.0,9.4,-0.8,-3.12,single_or_no_spouse,developed,1.5,Regular
12,1,1,0,0,1,0,1,18.0,7,13.05,7,13.05,7.6,2.6,0.32,single_or_no_spouse,developed,1.5,Regular
6,1,1,0,0,1,0,0,24.0,10,11.0,6,0.0,8.9,1.4,3.51,single_or_no_spouse,developed,1.0,At-risk
5,1,1,0,0,1,0,0,20.0,7,11.5,6,12.0,16.2,0.3,-0.92,single_or_no_spouse,developed,2.5,Regular
11,1,0,0,0,1,0,1,21.0,7,12.0,6,12.5,13.9,-0.3,0.79,single_or_no_spouse,developed,1.0,Regular
3,0,0,0,0,1,0,0,23.0,13,10.0,12,10.0,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.5,Regular
9,1,1,0,0,1,0,0,24.0,5,0.0,5,0.0,7.6,2.6,0.32,single_or_no_spouse,developed,2.5,At-risk
16,1,0,0,0,1,0,0,21.0,0,0.0,0,0.0,12.4,0.5,1.79,single_or_no_spouse,developed,2.0,At-risk
12,1,1,0,0,1,0,0,18.0,8,12.242857142857144,8,12.242857142857144,12.7,3.7,-1.7,single_or_no_spouse,developed,1.0,Regular
17,0,1,0,0,1,0,0,27.0,0,0.0,0,0.0,8.9,1.4,3.51,single_or_no_spouse,developed,2.5,At-risk
12,1,1,0,0,1,0,0,18.0,8,12.93375,8,12.93375,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.0,Regular
7,1,0,0,0,1,0,0,35.0,0,0.0,0,0.0,13.9,-0.3,0.79,single_or_no_spouse,developed,3.0,At-risk
16,1,0,0,0,1,0,0,18.0,9,12.571428571428571,8,14.428571428571429,11.1,0.6,2.02,single_or_no_spouse,developed,2.0,Regular
